,page_url
87,https://www.thisiscolossal.com/2022/06/rosalind-hobley-flower-cyanotypes/
88,https://www.thisiscolossal.com/2022/06/david-cass-assemblages/
89,https://www.thisiscolossal.com/2022/06/june-2022-opportunities-for-artists/
90,https://www.thisiscolossal.com/2022/06/omozoc-stop-motion-woodworking/
91,https://www.thisiscolossal.com/2022/06/mantra-murals-garden-butterflies/
92,https://www.thisiscolossal.com/2022/05/oliver-chalk-wooden-vessels/
93,https://www.thisiscolossal.com/2022/05/isabel-reitemeyer-animal-collages/
94,https://www.thisiscolossal.com/2022/05/luciano-cian-tete/
95,https://www.thisiscolossal.com/2022/05/pham-huy-trung-vietnam-photographs/
96,https://www.thisiscolossal.com/2022/05/mark-neville-stop-tanks-with-books/
97,https://www.thisiscolossal.com/2022/05/jason-limon-stripped-down/
98,https://www.thisiscolossal.com/2022/05/maya-lin-a-study-of-water/
99,https://www.thisiscolossal.com/2022/05/oliver-jeffers-the-night-in-bloom/
100,https://www.thisiscolossal.com/2022/05/sky-bridge-721/
101,https://www.thisiscolossal.com/2022/05/ariel-adkins-artfully-awear/
102,https://www.thisiscolossal.com/2022/05/manooni-felt-sculptures/
103,https://www.thisiscolossal.com/2022/05/nsenene-michelle-coomber/
104,https://www.thisiscolossal.com/2022/05/bamboo-contemporary-william-richards/
105,https://www.thisiscolossal.com/2022/05/sriram-murali-synchronous-fireflies/
106,https://www.thisiscolossal.com/2022/05/sebastian-foster-mia-bergeron/
107,https://www.thisiscolossal.com/2022/05/minimum-monument-nele-azevedo/
108,https://www.thisiscolossal.com/2022/05/ryo-tajima-wisteria-photos/
109,https://www.thisiscolossal.com/2022/05/thandiwe-muriu-camo-portraits/
110,https://www.thisiscolossal.com/2022/05/ezequiel-pini-the-circle/
111,https://www.thisiscolossal.com/2022/05/ariana-heinzman-clay-sculpture/
112,https://www.thisiscolossal.com/2022/05/tom-scott-christian-moullec/
113,https://www.thisiscolossal.com/2022/05/su-blackwell-book-sculptures/
114,https://www.thisiscolossal.com/2022/05/interview-trevon-latin/
115,https://www.thisiscolossal.com/2022/05/time-capsule-project/
116,https://www.thisiscolossal.com/2022/05/jeanne-simmons-land-art/
117,https://www.thisiscolossal.com/2022/05/jo-nakashima-origami-animals/
118,https://www.thisiscolossal.com/2022/05/jean-jullien-book/
119,https://www.thisiscolossal.com/2022/05/nick-cave-forothermore/
120,https://www.thisiscolossal.com/2022/05/bookworks-exhibition-london/
121,https://www.thisiscolossal.com/2022/05/dhritiman-mukherjee-gharial-photos/
122,https://www.thisiscolossal.com/2022/05/heywood-condie-sacre-blur/
123,https://www.thisiscolossal.com/2022/05/svace-summer-2022/
124,https://www.thisiscolossal.com/2022/05/lisa-nilsson-grand-jardin/
125,https://www.thisiscolossal.com/2022/05/bernhard-lang-airplane-boneyard/
126,https://www.thisiscolossal.com/2022/05/laetitia-ky-hair-sculpture/
127,https://www.thisiscolossal.com/2022/05/19th-unnamed-cave-glyphs/
128,https://www.thisiscolossal.com/2022/05/prime-arts-next-generation/
129,https://www.thisiscolossal.com/2022/05/crochet-coral-reef-wertheim/
130,https://www.thisiscolossal.com/2022/05/vanished-house-field-conforming-studio/
131,https://www.thisiscolossal.com/2022/05/bronwyn-oliver-copper-sculpture/
132,https://www.thisiscolossal.com/2022/05/bill-mayer-gouache-portraits/
133,https://www.thisiscolossal.com/2022/05/interview-artist-nick-cave/
134,https://www.thisiscolossal.com/2022/05/victo-ngai-illustrations/
135,https://www.thisiscolossal.com/2022/05/nicolas-v-sanchez-belongings/
136,https://www.thisiscolossal.com/2022/05/villa-m-triptyque-architecture/
137,https://www.thisiscolossal.com/2022/05/mark-jenkins-sculptures/
138,https://www.thisiscolossal.com/2022/05/art-domains-digital-portfolio/
139,https://www.thisiscolossal.com/2022/05/tach-pollard-wood-sculptures/
140,https://www.thisiscolossal.com/2022/05/monterey-bay-new-jellyfish/
141,https://www.thisiscolossal.com/2022/05/felipe-pantone-quick-tide/
142,https://www.thisiscolossal.com/2022/05/claudio-contreras-koob-flamingos/
143,https://www.thisiscolossal.com/2022/05/shawn-huckins-dirty-laundry/
144,https://www.thisiscolossal.com/2022/05/ema-shin-hearts-absent-women/
145,https://www.thisiscolossal.com/2022/05/april-bey-tapestries/
146,https://www.thisiscolossal.com/2022/05/simon-brown-katie-corrigan-sculptures/
147,https://www.thisiscolossal.com/2022/05/anne-butler-objects-of-time/
148,https://www.thisiscolossal.com/2022/05/rebecca-szeto-paintbrush-portraits/
149,https://www.thisiscolossal.com/2022/05/nass-trip-down-market-street/
150,https://www.thisiscolossal.com/2022/05/simone-leigh-sovereignty/
151,https://www.thisiscolossal.com/2022/05/michelle-kingdom-embroidered-rituals/
152,https://www.thisiscolossal.com/2022/05/may-2022-opportunities-for-artists/
153,https://www.thisiscolossal.com/2022/05/hot-tea-yarn-installations/
154,https://www.thisiscolossal.com/2022/05/barbara-franc-shaggy-dogs/
155,https://www.thisiscolossal.com/2022/05/risd-ce-summer-2022/
156,https://www.thisiscolossal.com/2022/05/kylli-sparre-confined-photos/
157,https://www.thisiscolossal.com/2022/04/joao-gonzalez-ice-merchants/
158,https://www.thisiscolossal.com/2022/04/seth-artmstrong-paintings/
159,https://www.thisiscolossal.com/2022/04/chiharu-shiota-string-installations/
160,https://www.thisiscolossal.com/2022/04/expanded-eye-tattoos/
161,https://www.thisiscolossal.com/2022/04/curtis-talwst-santiago-infinity-series/
162,https://www.thisiscolossal.com/2022/04/henrique-oliveira-nature-architecture/
163,https://www.thisiscolossal.com/2022/04/flow-hideki-inaba/
164,https://www.thisiscolossal.com/2022/04/kehinde-wiley-archaeology-of-silence/
165,https://www.thisiscolossal.com/2022/04/estelle-chretien-interventions/
166,https://www.thisiscolossal.com/2022/04/sistine-chapel-book/
167,https://www.thisiscolossal.com/2022/04/paper-plants-raya-sader-bujana/
168,https://www.thisiscolossal.com/2022/04/velocity-film-sherbakov/
169,https://www.thisiscolossal.com/2022/04/heather-benning-dollhouse/
170,https://www.thisiscolossal.com/2022/04/derrick-adams-portraits/
